ano,meses,dia,fechamentoibov,aberturaibov,maxibov,minibov,volibov,aberturausd,maxusd,minusd,fechamentousd,volusd
2010,6,9,61479.000000,61799.000000,62684.000000,61479.000000,1736400,1.803800,1.851600,1.803800,1.842000,0
2010,6,10,63049.000000,61484.000000,63146.000000,61484.000000,1717000,1.800300,1.847700,1.800300,1.812300,0
2010,6,11,63605.000000,63044.000000,63766.000000,62371.000000,1345800,1.752500,1.813400,1.752500,1.811600,0
2010,6,14,63533.000000,63613.000000,64296.000000,63529.000000,1793600,1.759200,1.806400,1.759200,1.801700,0
2010,6,15,64442.000000,63534.000000,64554.000000,63534.000000,1267200,1.761300,1.809000,1.761300,1.784600,0
2010,6,16,64751.000000,64442.000000,65097.000000,63974.000000,2441000,1.734900,1.795600,1.734900,1.786800,0
2010,6,17,64541.000000,64745.000000,65182.000000,64115.000000,1888800,1.735300,1.785400,1.735300,1.785400,0
2010,6,18,64438.000000,64542.000000,64941.000000,64239.000000,1871800,1.730800,1.781000,1.730800,1.772300,0
2010,6,21,64829.000000,64442.000000,65517.000000,64442.000000,1623000,1.721300,1.770300,1.721300,1.763600,0
2010,6,22,64811.000000,64834.000000,65831.000000,64690.000000,1931800,1.720700,1.771900,1.720700,1.766900,0
2010,6,23,65160.000000,64812.000000,65161.000000,64247.000000,1762200,1.738200,1.804500,1.738200,1.801100,0
2010,6,24,63937.000000,65154.000000,65154.000000,63736.000000,1786400,1.737400,1.799000,1.737400,1.778500,0
2010,6,25,64824.000000,63937.000000,64869.000000,63806.000000,1257200,1.792100,1.792100,1.732400,1.780000,0
2010,6,28,64225.000000,64825.000000,65105.000000,64225.000000,943200,1.727600,1.784000,1.727600,1.782000,0
2010,6,29,61978.000000,64216.000000,64216.000000,61670.000000,2196000,1.730600,1.807800,1.730600,1.807800,0
2010,6,30,60936.000000,61972.000000,62645.000000,60936.000000,1958400,1.760700,1.809000,1.760700,1.790900,0
2010,7,1,61236.000000,60935.000000,61381.000000,60056.000000,2130000,1.760700,1.809000,1.792100,1.798900,0
2010,7,2,61430.000000,61236.000000,61812.000000,60764.000000,1143800,1.740100,1.793100,1.740100,1.774500,0
2010,7,5,60865.000000,61436.000000,61667.000000,60796.000000,760000,1.721000,1.773400,1.721000,1.773400,0
2010,7,6,62065.000000,60870.000000,62451.000000,60870.000000,1786600,1.725100,1.774800,1.725100,1.767000,0
2010,7,7,63284.000000,62067.000000,63313.000000,62004.000000,1732200,1.729300,1.781900,1.729300,1.765000,0
2010,7,8,63476.000000,63282.000000,63596.000000,62895.000000,1658000,1.715800,1.771900,1.715800,1.768300,0
2010,7,12,62960.000000,63477.000000,63972.000000,62750.000000,1229000,1.708800,1.762500,1.708800,1.760000,0
2010,7,13,63686.000000,62964.000000,63777.000000,62964.000000,1583800,1.710900,1.760000,1.710900,1.756000,0
2010,7,14,63479.000000,63686.000000,63688.000000,63015.000000,1450400,1.702400,1.766000,1.701900,1.766000,0
2010,7,15,63489.000000,63482.000000,63612.000000,62960.000000,1564800,1.713100,1.774800,1.713100,1.770000,0
2010,7,16,62339.000000,63487.000000,63492.000000,62298.000000,1326400,1.710300,1.784200,1.710300,1.782600,0
2010,7,19,63297.000000,62351.000000,63300.000000,62351.000000,1276400,1.731700,1.786300,1.731700,1.786300,0
2010,7,20,64463.000000,63290.000000,64481.000000,62902.000000,2429400,1.742400,1.796400,1.742400,1.773700,0
2010,7,21,64477.000000,64468.000000,65136.000000,64209.000000,1821800,1.723700,1.776500,1.723700,1.771400,0
2010,7,22,65748.000000,64504.000000,66213.000000,64504.000000,2320600,1.730800,1.779500,1.730800,1.760200,0
2010,7,23,66323.000000,65748.000000,66323.000000,65427.000000,1540000,1.707800,1.764200,1.707800,1.760500,0
2010,7,26,66443.000000,66322.000000,66619.000000,66151.000000,1234400,1.723200,1.770700,1.723200,1.765600,0
2010,7,27,66674.000000,66449.000000,67102.000000,66293.000000,1601800,1.712300,1.768100,1.712300,1.760700,0
2010,7,28,66808.000000,66670.000000,67051.000000,66427.000000,1939400,1.718700,1.769000,1.718700,1.762300,0
2010,7,29,66954.000000,66796.000000,67428.000000,66596.000000,2160200,1.719800,1.769400,1.719800,1.764800,0
2010,7,30,67515.000000,66951.000000,67608.000000,66218.000000,2088400,1.708000,1.763100,1.708000,1.758500,0
2010,8,2,68517.000000,67524.000000,68754.000000,67524.000000,1766600,1.704000,1.753900,1.704000,1.742900,0
2010,8,3,67997.000000,68517.000000,68561.000000,67942.000000,1900000,1.701200,1.760000,1.701200,1.753700,0
2010,8,4,68272.000000,67996.000000,68534.000000,67577.000000,1875200,1.708400,1.758600,1.708400,1.753700,0
2010,8,5,68412.000000,68271.000000,68471.000000,68002.000000,1611600,1.702000,1.755400,1.702000,1.752600,0
2010,8,6,68095.000000,68416.000000,68509.000000,67686.000000,1513200,1.702600,1.758100,1.702600,1.753500,0
2010,8,9,67862.000000,68096.000000,68513.000000,67749.000000,1254800,1.707600,1.758100,1.707600,1.707500,0
2010,8,10,67223.000000,67836.000000,67836.000000,66946.000000,1625400,1.698000,1.761500,1.698000,1.751000,0
2010,8,11,65790.000000,67217.000000,67217.000000,65690.000000,1732800,1.702700,1.770900,1.702700,1.760000,0
2010,8,12,65966.000000,65788.000000,66027.000000,65257.000000,1546600,1.724200,1.776900,1.724200,1.768500,0
2010,8,13,66264.000000,65964.000000,66590.000000,65921.000000,1841200,1.718700,1.771400,1.718700,1.766400,0
2010,8,16,66702.000000,66260.000000,66868.000000,66187.000000,1394800,1.722300,1.770000,1.722300,1.722000,0
2010,8,17,67584.000000,66702.000000,67666.000000,66702.000000,1747000,1.704500,1.754100,1.704500,1.755400,0
2010,8,18,67638.000000,67584.000000,67745.000000,67006.000000,2367000,1.703400,1.752000,1.703400,1.747800,0
